"Prioritisation","ID","Date Added","Date of Publishing","Summary","Data Source","Probability of UK alert","Product Category","Raw Product Phrase","Commodity / Product","Country of Origin","Notified by","Hazard Description","Hazard Group","Incident Title","Alert Type","Link","Food, Feed or FCM","Manufacturer","Brand","Organisations","Source Type","Is A Food Article","Eu/non-EU Country of Origin","EU/non-EU Notifying Country"
"HIGH","229291","2020-08-24","2020-08-21","possible salmonella contamination: loose fruit","Food_Poisoning_Bulletin","0","fruits and vegetables","loose fruit","fruit","USA","USA","possible salmonella contamination","pathogenic micro-organisms","Prima Wawona Peaches Recalled For Possible Salmonella Contamination","recall","https://foodpoisoningbulletin.com/2020/prima-wawona-peaches-recalled-for-possible-salmonella-contamination/","food",NA,NA,"CDC.If, Kroger, Wawona, Wegmans, FDA","Others","Yes","non_EU","non_EU"
"HIGH","229293","2020-08-24","2020-08-21","Salmonella: fresh fruit giant wawona","FSN_FAR","0","fruits and vegetables","fresh fruit giant wawona","fruit giant","","","Salmonella","pathogenic micro-organisms","Wawona recalls peaches linked to multi-state Salmonella outbreak","outbreak","https://www.foodsafetynews.com/2020/08/wawona-recalls-peaches-linked-to-multi-state-salmonella-outbreak/","food",NA,NA,"wawonapacking.com, the Food and Drug Administration, CDC, Aldi, Target, Food Safety News, the Centers for Disease Control and Prevention, Kroger, Wawona","Others","Yes","",""
"HIGH","229296","2020-08-22","2020-08-21","salmonella: frozen chicken thighs","RASFF","0.286549708","poultry meat and poultry meat products","frozen chicken thighs","chicken","Netherlands","Netherlands","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in frozen chicken thighs from the Netherlands","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3369","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229297","2020-08-22","2020-08-21","presence of soya: rice flour","RASFF","0","cereals and bakery products","rice flour","rice","Italy","Italy","presence of soya","allergens","presence of soya in rice flour from Italy","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3372","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229299","2020-08-22","2020-08-21","Salmonella enterica ser Infantis: chilled minced beef","RASFF","0","meat and meat products (other than poultry)","chilled minced beef","beef","Hungary","Sweden","Salmonella enterica ser Infantis","pathogenic micro-organisms","Salmonella enterica ser. Infantis (presence /25g) in chilled minced beef from Hungary, via the Netherlands","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3355","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229303","2020-08-22","2020-08-21","salmonella: hulled sesame seeds","RASFF","0.0125","nuts, nut products and seeds","hulled sesame seeds","sesame","Nigeria","Greece","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in hulled sesame seeds from Nigeria","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3357","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","229307","2020-08-22","2020-08-21","peanut undeclared: milk chocolate bonbons with nougat filling","RASFF","0","cocoa and cocoa preparations, coffee and tea","milk chocolate bonbons with nougat filling","milk chocolate bonbon nougat","Slovakia","Czech Republic","peanut undeclared","allergens","peanut (16.4 mg/kg - ppm) undeclared on milk chocolate bonbons with nougat filling from Slovakia","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3354","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229310","2020-08-22","2020-08-20","Salmonella enterica ser Gold Coast: chilled minced beef","RASFF","0","meat and meat products (other than poultry)","chilled minced beef","beef","Denmark","Finland","Salmonella enterica ser Gold Coast","pathogenic micro-organisms","Salmonella enterica ser. Gold Coast (in 3 out of 5 samples /25g) in chilled minced beef from Germany, packaged in Denmark","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3350","food",NA,NA,"Gold Coast","Official","Yes","EU","EU"
"HIGH","229195","2020-08-21","2020-08-21","salmonella wawona peaches outbreak: fresh whole peaches","Food_Poisoning_Bulletin","0","fruits and vegetables","fresh whole peaches","peach","USA","USA","salmonella wawona peaches outbreak","pathogenic micro-organisms","CDC Weighs In On Salmonella Wawona Peaches Outbreak","outbreak","https://foodpoisoningbulletin.com/2020/cdc-weighs-in-on-salmonella-wawona-peaches-outbreak/","food",NA,NA,"the Minnesota Department of Health, The Centers for Disease Control and Prevention, Target, CDC, ALDI","Others","Yes","non_EU","non_EU"
"HIGH","229199","2020-08-21","2020-08-21","undeclared brazil nuts: peanuts","Food_Poisoning_Bulletin","0","nuts, nut products and seeds","peanuts","groundnut","Brazil","USA","undeclared brazil nuts","allergens","Southern Grove Mixed Nuts Recalled For Undeclared Brazil nuts","recall","https://foodpoisoningbulletin.com/2020/southern-grove-mixed-nuts-recalled-for-undeclared-brazil-nuts/","food",NA,NA,"Superior Nut Company, ALDI","Others","Yes","non_EU","non_EU"
"HIGH","229173","2020-08-21","2020-08-20","salmon thyphimurium bacteria: ""whole white chicken"" product","Belgium_FAR","0","poultry meat and poultry meat products","""whole white chicken"" product","chicken","Belgium","Belgium","salmon thyphimurium bacteria","microbial contaminants (other)","presence of salmon thyphimurium bacteria","recall","http://www.favv-afsca.fgov.be/consommateurs/rappelsdeproduits/2020/2020-08-20b.asp","food",NA,NA,"RASFF, AFSCA, Carrefour","Official","Yes","EU","EU"
"HIGH","229178","2020-08-21","2020-08-20","glycidol fatty acid esters: pistachioalmond cookies","Belgium_FAR","0","nuts, nut products and seeds","pistachioalmond cookies","almond","Belgium","Belgium","glycidol fatty acid esters","biological contaminants (other)","exceeding the standard in glycidol fatty acid esters","recall","http://www.favv-afsca.fgov.be/consommateurs/rappelsdeproduits/2020/2020-08-20.asp","food",NA,NA,"RASFF, Britannia Best, AFSCA, DDM","Official","Yes","EU","EU"
"HIGH","229196","2020-08-21","2020-08-20","news reports: ","Food_Poisoning_Bulletin","0",NA,"",NA,"USA","USA","news reports","Fraud","Possible Hepatits A Exposure at PF Chang’s in Destiny, USA, NY","outbreak","https://foodpoisoningbulletin.com/2020/possible-hepatits-a-exposure-at-pf-changs-in-destiny-usa-ny/","food",NA,NA,"the Onondaga County Health Department","Others","Yes","non_EU","non_EU"
"HIGH","229197","2020-08-21","2020-08-20","salmonella outbreak: peaches","Food_Poisoning_Bulletin","0","fruits and vegetables","peaches","peach","USA","USA","salmonella outbreak","pathogenic micro-organisms","Wawona Peaches Linked to a Salmonella Outbreak; Sickens 68 in 9 States","outbreak","https://foodpoisoningbulletin.com/2020/wawona-peaches-linked-to-a-salmonella-outbreaksickens-68-in-9-states/","food",NA,NA,"ALDI, CDC, FDA","Others","Yes","non_EU","non_EU"
"HIGH","229200","2020-08-21","2020-08-20","possible salmonella contamination: fresh peaches","Food_Poisoning_Bulletin","0","fruits and vegetables","fresh peaches","peach","USA","USA","possible salmonella contamination","pathogenic micro-organisms","Target Recalls Fresh Peaches For Possible Salmonella Contamination","recall","https://foodpoisoningbulletin.com/2020/target-recalls-fresh-peaches-for-possible-salmonella-contamination/","food",NA,NA,"Target, Wawona Packing Company, UPC, 492670344056If","Others","Yes","non_EU","non_EU"
"HIGH","229206","2020-08-21","2020-08-20","Salmonella: peaches","FSN_FAR","0","fruits and vegetables","peaches","peach","Poland","","Salmonella","pathogenic micro-organisms","Target recalls peaches after being linked to Salmonella outbreak","recall","https://www.foodsafetynews.com/2020/08/target-recalls-peaches-after-linked-to-salmonella-outbreak/","food",NA,NA,"UPC, Minnesota Department of Agriculture, The Minnesota Department of Health, FDA, Target, Centers for Disease Control and Prevention, CDC, Wawona Packing Company, MDA, White Peach, the U.S. Food and Drug Administration, Aldi, Food Safety News","Others","Yes","EU",""
"HIGH","229207","2020-08-21","2020-08-20","shigatoxinproducing escherichia coli: frozen lamb hind shank","RASFF","0","meat and meat products (other than poultry)","frozen lamb hind shank","lamb","Germany","Netherlands","shigatoxinproducing escherichia coli","microbial contaminants (other)","shigatoxin-producing Escherichia coli in frozen lamb hind shank from Germany","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3339","food",NA,NA,"shigatoxin","Official","Yes","EU","EU"
"HIGH","229209","2020-08-21","2020-08-20","pyrrolizidine alkaloids: anise seeds","RASFF","0","nuts, nut products and seeds","anise seeds","anise","Egypt","Germany","pyrrolizidine alkaloids","natural toxins (other)","pyrrolizidine alkaloids (12184 Âµg/kg - ppb) in anise seeds from Germany, with raw material from Egypt","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3346","food",NA,NA,"pyrrolizidine","Official","Yes","non_EU","EU"
"HIGH","229210","2020-08-21","2020-08-20","salmonella: processed animal proteins cat 3","RASFF","0","feed materials","processed animal proteins cat 3","animal protein cat","Spain","Italy","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in processed animal proteins Cat 3 from Spain","information for follow-up","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3348","feed",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229211","2020-08-21","2020-08-20","Salmonella enterica ser Enteritidis: chilled chicken meat","RASFF","0","poultry meat and poultry meat products","chilled chicken meat","chicken","Poland","Poland","Salmonella enterica ser Enteritidis","pathogenic micro-organisms","Salmonella enterica ser. Enteritidis (presence /25g), Salmonella group C (presence /25g) and Salmonella group C1 (presence /25g) in chilled chicken meat from Poland","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3349","food",NA,NA,"Salmonella group C","Official","Yes","EU","EU"
"HIGH","229212","2020-08-21","2020-08-20","Salmonella enterica ser Typhimurium: chilled raw sausages for frying","RASFF","0","meat and meat products (other than poultry)","chilled raw sausages for frying","meat product","Italy","Germany","Salmonella enterica ser Typhimurium","pathogenic micro-organisms","Salmonella enterica ser. Typhimurium (presence /25g) in chilled raw sausages for frying from Italy","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3345","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229213","2020-08-21","2020-08-20","Salmonella enterica ser Typhimurium: chilled chicken meat","RASFF","0","poultry meat and poultry meat products","chilled chicken meat","chicken","France","France","Salmonella enterica ser Typhimurium","pathogenic micro-organisms","Salmonella enterica ser. Typhimurium (presence /25g) in chilled chicken meat from France","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3336","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229215","2020-08-21","2020-08-20","mercury: frozen shortfin mako shark (isurus oxyrinchus) slices","RASFF","0","fish and fish products","frozen shortfin mako shark (isurus oxyrinchus) slices","shark","Spain","Italy","mercury","heavy metals","mercury (2.9 mg/kg - ppm) in frozen shortfin mako shark (Isurus oxyrinchus) slices from Spain","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3343","food",NA,NA,"mercury","Official","Yes","EU","EU"
"HIGH","229216","2020-08-21","2020-08-20","salmonella: betel leaves","RASFF","0","herbs and spices","betel leaves","betel","Thailand","United Kingdom","salmonella","pathogenic micro-organisms","Salmonella (in 3 out of 5 samples /25g) and high count of Escherichia coli (19000 CFU/g) in betel leaves from Thailand","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3340","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","229217","2020-08-21","2020-08-20","Salmonella enterica ser Enteritidis: scrambled eggs mix","RASFF","0","eggs and egg products","scrambled eggs mix","egg","Ukraine","Latvia","Salmonella enterica ser Enteritidis","pathogenic micro-organisms","Salmonella enterica ser. Enteritidis (presence /25g) in scrambled eggs mix from Ukraine","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3334","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","229218","2020-08-21","2020-08-19","Salmonella enterica ser Enteritidis: egg powder","RASFF","0","eggs and egg products","egg powder","egg","Bulgaria","Poland","Salmonella enterica ser Enteritidis","pathogenic micro-organisms","Salmonella enterica ser. Enteritidis (in 1 out of 5 samples /25g) in egg powder from Bulgaria","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3332","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229221","2020-08-21","2020-08-19","Salmonella enterica ser Infantis: frozen poultry trimmings","RASFF","0","poultry meat and poultry meat products","frozen poultry trimmings","poultry","Spain","France","Salmonella enterica ser Infantis","pathogenic micro-organisms","Salmonella enterica ser. Infantis (presence /25g) in frozen poultry trimmings from Spain","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3331","food",NA,NA,"frozen poultry","Official","Yes","EU","EU"
"HIGH","229225","2020-08-21","2020-08-19","salmonella: mix of condiments","RASFF","0","cereals and bakery products","mix of condiments","mix condiment","Belgium","Netherlands","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in mix of condiments from Belgium","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3330","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229226","2020-08-21","2020-08-19","pyrrolizidine alkaloids: whole cumin","RASFF","0","herbs and spices","whole cumin","cumin","Syria","Germany","pyrrolizidine alkaloids","natural toxins (other)","pyrrolizidine alkaloids (57827 Âµg/kg - ppb) in whole cumin from Syria, via Austria","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3328","food",NA,NA,"pyrrolizidine","Official","Yes","non_EU","EU"
"HIGH","229228","2020-08-21","2020-08-19","shigatoxinproducing escherichia coli: chilled beef","RASFF","0","meat and meat products (other than poultry)","chilled beef","beef","Argentina","Germany","shigatoxinproducing escherichia coli","microbial contaminants (other)","shigatoxin-producing Escherichia coli (in 1 out of 5 samples /25g) in chilled beef from Argentina","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3325","food",NA,NA,"shigatoxin","Official","Yes","non_EU","EU"
"HIGH","229159-28941","2020-08-21","2020-08-18","the bacterium bacillus cereus: maplesmoked tempeh","Quebec_FAR","0",NA,"maplesmoked tempeh","maple","Canada","Canada","the bacterium bacillus cereus","microbial contaminants (other)","Notice not to consume tempeh and vegan burger sold by the company Aux Vivres","recall","https://www.mapaq.gouv.qc.ca/fr/Consommation/rappelsaliments/2020/08/Pages/4173.aspx","food",NA,NA,"https://www.mapaq.gouv.qc.ca/, Aux Vivres, MAPAQ, Food Inspection Division, Veggie","Official","Yes","non_EU","non_EU"
"HIGH","229160-28941","2020-08-21","2020-08-18","the bacterium bacillus cereus: smoked tempeh with onion","Quebec_FAR","0","fruits and vegetables","smoked tempeh with onion","onion","Canada","Canada","the bacterium bacillus cereus","microbial contaminants (other)","Notice not to consume tempeh and vegan burger sold by the company Aux Vivres","recall","https://www.mapaq.gouv.qc.ca/fr/Consommation/rappelsaliments/2020/08/Pages/4173.aspx","food",NA,NA,"https://www.mapaq.gouv.qc.ca/, Aux Vivres, MAPAQ, Food Inspection Division, Veggie","Official","Yes","non_EU","non_EU"
"HIGH","229161-28941","2020-08-21","2020-08-18","the bacterium bacillus cereus: veggie burger","Quebec_FAR","0",NA,"veggie burger","veggie burger","Canada","Canada","the bacterium bacillus cereus","microbial contaminants (other)","Notice not to consume tempeh and vegan burger sold by the company Aux Vivres","recall","https://www.mapaq.gouv.qc.ca/fr/Consommation/rappelsaliments/2020/08/Pages/4173.aspx","food",NA,NA,"https://www.mapaq.gouv.qc.ca/, Aux Vivres, MAPAQ, Food Inspection Division, Veggie","Official","Yes","non_EU","non_EU"
"HIGH","229168","2020-08-21","2020-08-18","salmonella: k classic pumpkin seeds natural 200 g","Germany_FAR","0","nuts, nut products and seeds","k classic pumpkin seeds natural 200 g","pumpkin","Germany","Germany","salmonella","pathogenic micro-organisms","Warning for the product k classic pumpkin seeds natural 200 g for detection of salmonella","recall","https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/56484","food",NA,NA,"Nutwork Handelsgesellschaft mbH Burchardstrasse, Hamburg Distributed, Kaufland Service GmbH & Co. KG, Rhineland-Palatinate","Official","Yes","EU","EU"
"HIGH","229169","2020-08-21","2020-08-18","undeclared lactose: knows cookie special flavors cocoa kekse","Germany_FAR","0","cocoa and cocoa preparations, coffee and tea","knows cookie special flavors cocoa kekse","bakery product","Germany","Germany","undeclared lactose","allergens","Warning for the product knows cookie special flavors cocoa kekse for undeclared lactose","recall","https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/56460","food",NA,NA,"MAHO GmbH Piccoloministr, Bilir, Rhineland-Palatinate, Ozel Lezzetler Cocoa Biscuits","Official","Yes","EU","EU"
"HIGH","229174","2020-08-21","2020-08-18","salmon thyphimurium bacteria: rented brand whole white chicken.","Belgium_FAR","0","poultry meat and poultry meat products","rented brand whole white chicken.","chicken","Belgium","Belgium","salmon thyphimurium bacteria","microbial contaminants (other)","presence of salmon thyphimurium bacteria","recall","http://www.favv-afsca.fgov.be/consommateurs/rappelsdeproduits/2020/2020-08-18c.asp","food",NA,NA,"Federal Agency for Food Chain Safety, Messancy, FSCA, The CORA Quality Service To, Quality Service, Hornu","Official","Yes","EU","EU"
"HIGH","229179","2020-08-21","2020-08-18","listeria may be present: goat cheeses","Belgium_FAR","0","milk and milk products","goat cheeses","cheese","Belgium","Belgium","listeria may be present","microbial contaminants (other)","listeria may be present","recall","http://www.favv-afsca.fgov.be/consommateurs/rappelsdeproduits/2020/2020-08-18b.asp","food",NA,NA,"Geitenboerderij De Volle Maan - - Consumption-free, AFSCA, Volle Maan Products","Official","Yes","EU","EU"
"HIGH","229182","2020-08-21","2020-08-18","african swine fever: pigs","Iceland_FAR","0","meat and meat products (other than poultry)","pigs","pork","Iceland","Iceland","african swine fever","microbial contaminants (other)","To stop African pigs from coming to Iceland","recall","https://www.mast.is/is/um-mast/frettir/frettir/hindrum-ad-afrisk-svinapest-berist-til-islands","food",NA,NA,"Customs","Official","Yes","non_EU","non_EU"
"HIGH","229231","2020-08-21","2020-08-18","cadmium: cocoyam fufu flour","RASFF","0","cereals and bakery products","cocoyam fufu flour","flour","USA","Netherlands","cadmium","heavy metals","cadmium (0.118 mg/kg - ppm) and chlorpropham (0.535 mg/kg - ppm) in cocoyam fufu flour from the United States","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3319","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","229232","2020-08-21","2020-08-18","salmonella: beef shreds","RASFF","0","meat and meat products (other than poultry)","beef shreds","beef","Netherlands","Netherlands","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in beef shreds from the Netherlands","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3317","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229233","2020-08-21","2020-08-18","lactose undeclared: chocolate biscuits","RASFF","0","cocoa and cocoa preparations, coffee and tea","chocolate biscuits","chocolate biscuit","Turkey","Germany","lactose undeclared","allergens","lactose (7.89 g/100g) undeclared on chocolate biscuits from Turkey","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3316","food",NA,NA,"g/100","Official","Yes","non_EU","EU"
"HIGH","229234","2020-08-21","2020-08-18","suspicion of Listeria monocytogenes: pulled oats","RASFF","0",NA,"pulled oats","oat","Finland","Finland","suspicion of Listeria monocytogenes","microbial contaminants (other)","suspicion of Listeria monocytogenes in pulled oats from Finland","information for follow-up","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3181","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229236","2020-08-21","2020-08-18","bacillus cereus: paella","RASFF","0","prepared dishes and snacks","paella","paella","Belgium","Luxembourg","bacillus cereus","microbial contaminants (other)","Bacillus cereus (84000 CFU/g) in paella from Belgium","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3313","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229237","2020-08-21","2020-08-18","Salmonella enterica ser Enteritidis: frozen marinated chicken fillets","RASFF","0","poultry meat and poultry meat products","frozen marinated chicken fillets","chicken","Poland","Italy","Salmonella enterica ser Enteritidis","pathogenic micro-organisms","Salmonella enterica ser. Enteritidis (presence /25g), Salmonella enterica ser. Newport (presence /25g) and Salmonella enterica ser. Virchow (presence /25g) in frozen marinated chicken fillets from Poland","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3312","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","229162-28928","2020-08-21","2020-08-17","notice not to consume smoked trout spread sold by the national herring import company ltd: smoked trout tartinade","Quebec_FAR","0","fish and fish products","smoked trout tartinade","trout","Canada","Canada","notice not to consume smoked trout spread sold by the national herring import company ltd","Fraud","Notice not to consume smoked trout spread sold by the National Herring Import Company Ltd.","recall","https://www.mapaq.gouv.qc.ca/fr/Consommation/rappelsaliments/2020/08/Pages/4172.aspx","food",NA,NA,"QuebecThe, National Herring Import Company Ltd., https://www.mapaq.gouv.qc.ca/fr/Consommation/rappelsaliments/2020/08/, MAPAQ, Montrealcet Food, the National Herring Import Company Ltd., Media Relations CommunicationsSeuring Of Agriculture, Fisheries and Food, Food Inspection Division","Official","Yes","non_EU","non_EU"
